site,plastic,rep,type,abundance,abundance_cor,log_abundance,type2
"falmouth
wharf",LDPE,"falmouth
wharf_LDPE_6",ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
"falmouth
wharf",PP,"falmouth
wharf_PP_1",culturable,85.5,86.5,1.9370161074648142,(a)~LB~medium
"falmouth
wharf",PP,"falmouth
wharf_PP_1",coliform,0,1,0,(b)~coliform
"falmouth
wharf",PP,"falmouth
wharf_PP_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PP,"falmouth
wharf_PP_2",culturable,284.98,285.98,2.456335661823607,(a)~LB~medium
"falmouth
wharf",PP,"falmouth
wharf_PP_2",coliform,71.25,72.25,1.8588378514285855,(b)~coliform
"falmouth
wharf",PP,"falmouth
wharf_PP_2",ecoli,2.37,3.37,0.5276299008713387,"(c)~italic(""E.coli"")"
"falmouth
wharf",PP,"falmouth
wharf_PP_3",culturable,59.37,60.37,1.7808211758534729,(a)~LB~medium
"falmouth
wharf",PP,"falmouth
wharf_PP_3",coliform,2.37,3.37,0.5276299008713387,(b)~coliform
"falmouth
wharf",PP,"falmouth
wharf_PP_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PP,"falmouth
wharf_PP_4",culturable,33.25,34.25,1.5346605758284444,(a)~LB~medium
"falmouth
wharf",PP,"falmouth
wharf_PP_4",coliform,0,1,0,(b)~coliform
"falmouth
wharf",PP,"falmouth
wharf_PP_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",PP,"falmouth
wharf_PP_5",culturable,1994.89,1995.89,3.3001366022271883,(a)~LB~medium
"falmouth
wharf",PP,"falmouth
wharf_PP_5",coliform,294.48,295.48,2.470528090348949,(b)~coliform
"falmouth
wharf",PP,"falmouth
wharf_PP_5",ecoli,11.87,12.87,1.1095785469043866,"(c)~italic(""E.coli"")"
"falmouth
wharf",PP,"falmouth
wharf_PP_6",culturable,2588.61,2589.61,3.413234363462957,(a)~LB~medium
"falmouth
wharf",PP,"falmouth
wharf_PP_6",coliform,121.12,122.12,2.086786795626624,(b)~coliform
"falmouth
wharf",PP,"falmouth
wharf_PP_6",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"falmouth
wharf",HDPE,"falmouth
wharf_HDPE_1",culturable,664.96,665.96,2.823448144634307,(a)~LB~medium
